phrase,sentiment,category,confidence,context_notes,beat_appreciation,gen_z_slang
this is sick,positive,praise_general,0.95,Classic music slang - 'sick' means awesome/cool,False,False
so sick,positive,praise_general,0.9,Variation of 'sick' meaning awesome,False,False
that's sick,positive,praise_general,0.9,Variation of 'sick' meaning awesome,False,False
sick beat,positive,praise_general,0.95,'Sick' applied to beat/production,True,False
sick flow,positive,praise_general,0.95,'Sick' applied to rap flow,False,False
sick track,positive,praise_general,0.95,'Sick' applied to entire song,False,False
this hard,positive,praise_general,0.95,'Hard' means impressive/good in music context,False,False
goes hard,positive,praise_general,0.95,Song/beat hits hard emotionally,False,False
hard af,positive,praise_general,0.95,Very impressive (af = as fuck),False,False
hard as shit,positive,praise_general,0.95,"Very impressive, strong emphasis",False,False
so hard,positive,praise_general,0.9,Impressive with emphasis,False,False
too hard,positive,praise_general,0.9,Extremely impressive,False,False
this hard af,positive,praise_general,0.95,This is very impressive,False,False
this hard as shit,positive,praise_general,0.95,"This is very impressive, strong emphasis",False,False
this crazy,positive,praise_general,0.9,'Crazy' means amazing in music context,False,False
so crazy,positive,praise_general,0.85,Very amazing/impressive,False,False
bro this crazy,positive,praise_general,0.9,Casual expression of amazement,False,False
absolutely crazy,positive,praise_general,0.85,Extremely impressive,False,False
fire,positive,praise_general,0.95,Universal music praise term,False,False
this fire,positive,praise_general,0.9,This is excellent,False,False
straight fire,positive,praise_general,0.95,Pure excellence,False,False
pure fire,positive,praise_general,0.95,Absolute excellence,False,False
slaps,positive,praise_general,0.9,Song hits hard/sounds great,False,False
this slaps,positive,praise_general,0.9,This song hits hard,False,False
song slaps,positive,praise_general,0.9,Song is excellent,False,False
banger,positive,praise_general,0.95,Great song that hits hard,False,False
goated,positive,praise_general,0.9,Greatest of all time,False,False
goated song,positive,praise_general,0.95,Greatest song of all time,False,False
goated artist,positive,praise_general,0.95,Greatest artist of all time,False,False
hits different,positive,praise_general,0.85,Uniquely good/special,False,True
chef's kiss,positive,praise_general,0.9,Perfect/excellent,False,True
iconic,positive,praise_general,0.85,Legendary/memorable,False,False
legendary,positive,praise_general,0.85,Epic/historic quality,False,False
fucking queen,positive,praise_performance,0.95,High praise for female artist,False,False
queen,positive,praise_performance,0.85,Praise for female artist,False,False
yes queen,positive,praise_performance,0.9,Supportive praise for female artist,False,False
queen energy,positive,praise_performance,0.85,"Confident, powerful performance",False,False
YES MOTHER,positive,praise_performance,0.9,"High praise, especially for female artists",False,True
mother,positive,praise_performance,0.8,Praise term in Gen Z culture,False,True
mom,positive,praise_performance,0.75,Praise term variation,False,True
go off king,positive,praise_performance,0.95,Praise for male artist performance,False,False
go off queen,positive,praise_performance,0.95,Praise for female artist performance,False,False
go off,positive,praise_performance,0.85,Encouragement to perform well,False,False
go off bestie,positive,praise_performance,0.85,Friendly encouragement,False,False
ate that,positive,praise_performance,0.95,Performed excellently,False,True
ate and left no crumbs,positive,praise_performance,0.95,"Perfect performance, nothing left to improve",False,True
devoured,positive,praise_performance,0.9,Dominated the performance,False,True
served,positive,praise_performance,0.85,Delivered an excellent performance,False,True
understood the assignment,positive,praise_performance,0.9,Did exactly what was needed,False,True
snapped,positive,praise_performance,0.9,Performed exceptionally well,False,False
my nigga snapped,positive,praise_performance,0.9,Artist performed exceptionally well,False,False
you slid,positive,praise_performance,0.85,You delivered/performed well,False,True
slay,positive,praise_performance,0.9,Perform excellently,False,True
slayed,positive,praise_performance,0.9,Performed excellently,False,True
slaying,positive,praise_performance,0.9,Currently performing excellently,False,True
talent,positive,praise_performance,0.85,Recognition of skill,False,False
pure talent,positive,praise_performance,0.9,Exceptional natural ability,False,False
