comment_id,enhanced_aggressive_compound,enhanced_comprehensive_compound,enhanced_hybrid_compound,enhanced_minimal_compound,enhanced_moderate_compound,stock_vader_compound,enhanced_aggressive_sentiment,enhanced_comprehensive_sentiment,enhanced_hybrid_sentiment,enhanced_minimal_sentiment,enhanced_moderate_sentiment,stock_vader_sentiment,comment_text,artist
Ugw0Up60_uSlr0ZTuOV4AaABAg,0.6369,0.6369,0.6369,0.6369,0.6369,0.6369,positive,positive,positive,positive,positive,positive,"0:48  for my Bada fans, start here💙",Flyana Boss
Ugw11jAIb6GrHoGBjw94AaABAg,0.4404,0.4404,0.4404,0.4404,0.4404,0.4404,positive,positive,positive,positive,positive,positive,I'm a Korean student. I sympathize with your song❤️‍🔥🇰🇷 I hope you become more famous.,Corook
Ugw1jUXHJ8mVBy78eVZ4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,This is going in the playlist,BiC Fizzle
Ugw2rr8f2EY5CyFogpZ4AaABAg,0.7765,0.7765,0.7765,0.7765,0.7765,0.7765,positive,positive,positive,positive,positive,positive,Your music is always so goddamn relatable.  Hope you remembered how fabulous you are today ❤,Corook
Ugw3c8xmLnWUzJIB1OB4AaABAg,-0.4738,-0.4738,-0.4738,-0.4738,-0.4738,-0.4738,negative,negative,negative,negative,negative,negative,"Been crying over this for weeks, so excited to finally hear the rest of it. Will be crying for weeks more",Corook
Ugw3lFvwMnIKnyDtAW14AaABAg,0.7387,0.7387,0.7387,0.7387,0.7387,0.7387,positive,positive,positive,positive,positive,positive,Your voice sounds nothing like your music but I love both voices,COBRAH
Ugw4E2zDNybCvdKtmA54AaABAg,-0.4943,-0.4943,-0.4943,-0.4943,-0.4943,-0.4943,negative,negative,negative,negative,negative,negative,Those sculptures are cool as hell so wicked 🖤.,COBRAH
Ugw4MVwlhfk4DULd5QZ4AaABAg,0.5707,0.5707,0.5707,0.5707,0.5707,0.5707,positive,positive,positive,positive,positive,positive,Congrats on actually getting this song in the game!,Corook
Ugw4_Aa2loiG21GYQ6l4AaABAg,0.6369,0.6369,0.6369,0.6369,0.6369,0.6369,positive,positive,positive,positive,positive,positive,"Acabo de encontrarte Cobrah ❤ y me enamoré de tu estilo , me explota la cabeza🌟",COBRAH
Ugw82iWJcNuSt3Me6e54AaABAg,0.5075,0.5075,0.5075,0.5075,0.5075,0.5075,positive,positive,positive,positive,positive,positive,I’m not being funny or anything but not only is this a catchy tune but it’s cleverrrrrr!! Can’t wait to see what you both do with your future 🥳,Flyana Boss
Ugw8aLmYGVHedzretOh4AaABAg,0.7096,0.6705,0.2023,0.2023,0.2023,0.2023,positive,positive,positive,positive,positive,positive,I’m obsessed with everything you two are and do😅,Flyana Boss
Ugw8mBiZYEg7dtuFcul4AaABAg,-0.2887,-0.2887,-0.2887,-0.2887,-0.2887,-0.2887,negative,negative,negative,negative,negative,negative,Corook must be protected!!! 🥺❤️ Thank you for braving the hate to send your music to the people that need to hear it! I wish I could be a shield for all the hurtful things that have been said.,Corook
Ugw8o5WvpWJx22OPjlh4AaABAg,0.8745,0.8745,0.8745,0.8745,0.8745,0.8745,positive,positive,positive,positive,positive,positive,"Chin up, love. Keep being you! Your tribe will come! 💛",Corook
Ugw8vtMtB79D73O_WQt4AaABAg,0.7906,0.7906,0.7906,0.7906,0.7906,0.7906,positive,positive,positive,positive,positive,positive,It's cool to see Nick Cannon hanging out with Flyanna Boss. OMG. Isn't one of the members now pregnant? That's what happens when you hang out with Nick Cannon. 🤣😅,Flyana Boss
UgwAkmlSS_n7qcujde14AaABAg,0.6416,0.5719,0.5719,0.5719,0.5719,0.0,positive,positive,positive,positive,positive,neutral,"This song is such a banger, on loop 24/7",re6ce
UgwB1aZcuSPQ_X-oeol4AaABAg,0.6416,0.5719,0.5719,0.5719,0.5719,-0.34,positive,positive,positive,positive,positive,negative,Yo this is fire,Corook
UgwCTa1SxGP8K6IBpbl4AaABAg,0.9423,0.9423,0.9423,0.9423,0.9423,0.9423,positive,positive,positive,positive,positive,positive,Great music ladies 💕 love it ✨,Flyana Boss
UgwCq6vetsDByU7GPpl4AaABAg,0.4588,0.4588,0.4588,0.4588,0.4588,0.4588,positive,positive,positive,positive,positive,positive,Ur so relatable ur one of my favorite artists atm,Corook
UgwD5U6TBDUrCEg5NK14AaABAg,0.4215,0.4215,0.4215,0.4215,0.4215,0.4215,positive,positive,positive,positive,positive,positive,lol she’s 24. From Detroit,Flyana Boss
UgwDXTQptEeRp8lLvXt4AaABAg,0.0,0.0,0.0,0.0,0.0,0.0,neutral,neutral,neutral,neutral,neutral,neutral,Runnnn yalll,Flyana Boss
UgwDiOLSAyB9VdcHjaZ4AaABAg,0.9478,0.9478,0.9478,0.9478,0.9478,0.9478,positive,positive,positive,positive,positive,positive,Omg you two are PERFECT for each other!!! ❤😊,Corook
