phrase,expected,predicted,model
fire,positive,neutral,Enhanced Music
this fire,positive,neutral,Enhanced Music
straight fire,positive,neutral,Enhanced Music
pure fire,positive,neutral,Enhanced Music
slaps,positive,neutral,Enhanced Music
this slaps,positive,neutral,Enhanced Music
song slaps,positive,neutral,Enhanced Music
banger,positive,neutral,Enhanced Music
goated,positive,neutral,Enhanced Music
goated song,positive,neutral,Enhanced Music
goated artist,positive,neutral,Enhanced Music
beat is fire,positive,neutral,Enhanced Music
who produced this,positive,neutral,Enhanced Music
car test passed,positive,neutral,Enhanced Music
passed the car test,positive,neutral,Enhanced Music
this just passed the car test,positive,neutral,Enhanced Music
yes sir,positive,neutral,Enhanced Music
for the culture,positive,neutral,Enhanced Music
for the girls,positive,neutral,Enhanced Music
real music is back,positive,neutral,Enhanced Music
on repeat,positive,neutral,Enhanced Music
this on repeat,positive,neutral,Enhanced Music
been on repeat,positive,neutral,Enhanced Music
on repeat all day,positive,neutral,Enhanced Music
no skips,positive,neutral,Enhanced Music
album no skips,positive,neutral,Enhanced Music
went platinum in my,positive,neutral,Enhanced Music
went platinum in my car,positive,neutral,Enhanced Music
went platinum in my headphones,positive,neutral,Enhanced Music
went platinum in my room,positive,neutral,Enhanced Music
saved my life,positive,neutral,Enhanced Music
this saved my life,positive,neutral,Enhanced Music
gym playlist,positive,neutral,Enhanced Music
on my gym playlist,positive,neutral,Enhanced Music
workout playlist,positive,neutral,Enhanced Music
drop the album,positive,neutral,Enhanced Music
drop the album already,positive,neutral,Enhanced Music
we need the album,positive,neutral,Enhanced Music
album when,positive,neutral,Enhanced Music
where are the lyrics,positive,neutral,Enhanced Music
SOTY,positive,neutral,Enhanced Music
AOTY,positive,neutral,Enhanced Music
this ain't it chief,negative,neutral,Enhanced Music
mid,negative,neutral,Enhanced Music
basura,negative,neutral,Enhanced Music
went double wood,negative,neutral,Enhanced Music
who approved this,negative,neutral,Enhanced Music
turn it off,negative,neutral,Enhanced Music
nobody asked for this,negative,neutral,Enhanced Music
overrated,negative,neutral,Enhanced Music
fell off,negative,neutral,Enhanced Music
industry plant,negative,neutral,Enhanced Music
flop,negative,neutral,Enhanced Music
skip,negative,neutral,Enhanced Music
switch up the flow,negative,neutral,Enhanced Music
flow is repetitive,negative,neutral,Enhanced Music
mix sounds chaotic,negative,neutral,Enhanced Music
mom,positive,neutral,Enhanced Music
